"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"15/12/2022","1,776.66","1,807.40","1,809.09","1,772.00","","-1.69%"
"14/12/2022","1,807.27","1,810.49","1,814.19","1,796.07","","-0.17%"
"13/12/2022","1,810.29","1,781.21","1,824.87","1,779.81","","1.64%"
"12/12/2022","1,781.15","1,797.35","1,798.00","1,777.22","","-0.86%"
"09/12/2022","1,796.63","1,789.30","1,806.45","1,787.96","","0.41%"
"08/12/2022","1,789.23","1,786.29","1,795.18","1,780.96","","0.17%"
"07/12/2022","1,786.22","1,771.14","1,790.92","1,768.32","","0.86%"
"06/12/2022","1,770.91","1,768.67","1,781.46","1,765.72","","0.14%"
"05/12/2022","1,768.39","1,797.92","1,810.33","1,765.32","","-1.64%"
"02/12/2022","1,797.82","1,803.15","1,804.93","1,778.26","","-0.28%"
"01/12/2022","1,802.89","1,768.54","1,804.32","1,767.36","","1.95%"
"30/11/2022","1,768.45","1,749.82","1,770.39","1,744.41","","1.07%"
"29/11/2022","1,749.73","1,740.82","1,759.33","1,738.98","","0.52%"
