"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/12/2022","75.19","73.42","76.36","73.22","","2.38%"
"12/12/2022","73.44","71.89","73.98","70.25","","2.14%"
"11/12/2022","71.90","71.78","72.31","71.65","","0.56%"
"09/12/2022","71.50","72.07","72.92","70.11","","-0.78%"
"08/12/2022","72.06","72.57","75.39","71.14","","-0.72%"
"07/12/2022","72.58","74.47","75.36","71.75","","-2.54%"
"06/12/2022","74.47","77.41","77.88","73.43","","-3.79%"
"05/12/2022","77.40","81.13","82.71","76.78","","-4.62%"
"04/12/2022","81.15","80.06","81.29","79.89","","1.06%"
"02/12/2022","80.30","81.32","82.19","79.68","","-1.27%"
"01/12/2022","81.33","80.56","83.33","79.94","","0.96%"
"30/11/2022","80.56","78.75","81.34","78.41","","3.02%"
"29/11/2022","78.20","76.54","79.65","76.29","381.87K","1.24%"
"28/11/2022","77.24","75.93","77.84","73.60","405.03K","1.26%"
"25/11/2022","76.28","77.51","79.90","76.22","266.45K","-2.14%"
"24/11/2022","77.95","77.53","78.19","76.92","","0.01%"
"23/11/2022","77.94","81.08","81.95","76.83","379.15K","-3.72%"
"22/11/2022","80.95","80.22","82.36","79.85","269.62K","1.53%"
"21/11/2022","79.73","80.30","80.30","75.08","21.98K","-0.44%"
"18/11/2022","80.08","82.09","82.64","77.24","96.58K","-1.91%"
"17/11/2022","81.64","85.22","85.45","81.40","138.48K","-4.62%"
"16/11/2022","85.59","86.89","87.51","84.20","225.67K","-1.53%"
"15/11/2022","86.92","85.25","88.68","84.06","331.71K","1.22%"
"14/11/2022","85.87","89.02","89.84","85.15","315.45K","-3.47%"
"11/11/2022","88.96","86.27","90.10","86.18","301.66K","2.88%"
"10/11/2022","86.47","85.85","87.35","84.70","340.01K","0.75%"
"09/11/2022","85.83","88.57","89.24","85.50","388.30K","-3.46%"
"08/11/2022","88.91","91.87","92.17","88.52","344.22K","-3.14%"
"07/11/2022","91.79","91.00","93.74","90.40","322.42K","-0.89%"
"04/11/2022","92.61","87.90","92.87","87.82","354.06K","5.04%"
"03/11/2022","88.17","89.35","89.67","87.60","239.82K","-2.03%"
"02/11/2022","90.00","88.62","90.36","87.72","280.96K","1.84%"
"01/11/2022","88.37","86.43","89.45","85.92","274.32K","2.13%"
"31/10/2022","86.53","88.39","88.65","85.30","285.34K","-1.56%"
"28/10/2022","87.90","88.67","88.76","87.08","263.40K","-1.32%"
"27/10/2022","89.08","88.26","89.79","87.33","292.56K","1.33%"
"26/10/2022","87.91","85.07","88.41","84.14","287.18K","3.04%"
"25/10/2022","85.32","84.88","86.03","83.06","240.44K","0.87%"
